zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-14.50060607487702,23.158203417127957,58097.452775,22.253110446049604,False,0.07944,Kepler,-10.922278180575022,2.7963303404355267e-29,2017jgh,-1.9802436674474156e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.743389141822483,23.915420350182494,58097.473208,44.6769555072008,False,0.07944,Kepler,7.499589006170796,2.7963303404355267e-29,2017jgh,9.858977147037554e-30,K,0.0,Kepler
-48.6,37.65880949200498,-12.980526954556233,24.678282537448744,58097.493642,90.13171685533875,False,0.07944,Kepler,4.181850366141128,2.7963303404355267e-29,2017jgh,4.883002931596367e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.095740937806049,23.563068554198928,58097.514076,32.24796281724744,False,0.07944,Kepler,-9.284006354955608,2.7963303404355267e-29,2017jgh,-1.363868749091334e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.517989512505743,23.140819979499234,58097.534509,21.860704313484586,False,0.07944,Kepler,10.970994968661193,2.7963303404355267e-29,2017jgh,2.0122040009936013e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.295953699072392,22.362855792932585,58097.554943,10.673172498226805,False,0.07944,Kepler,10.39162213234894,2.7963303404355267e-29,2017jgh,4.1196249793557103e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.054361631900782,23.604447860104194,58097.575376,33.462483476246355,False,0.07944,Kepler,-9.0805974841279,2.7963303404355267e-29,2017jgh,-1.312867374384404e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.727071564371549,22.931737927633428,58097.616244,17.986106947312457,False,0.07944,Kepler,-11.359865838956937,2.7963303404355267e-29,2017jgh,-2.43952250523134e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.599732827163756,23.05907666484122,58097.636677,20.220452875920664,False,0.07944,Kepler,11.167946564355756,2.7963303404355267e-29,2017jgh,2.1695483545690074e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.620477761522743,23.038331730482234,58097.657111,19.82191502036322,False,0.07944,Kepler,-11.209072705554927,2.7963303404355267e-29,2017jgh,-2.2114000129872406e-29,K,0.0,Kepler
